gisid,Calendar year,State Route,Loc Road Name RMS,Intersection From,Segment From,Offset From,Intersection To,Segment To,Offset to,Municipality Name1,Municipality Name2,Municipality Name3,Leg Dist 1,Leg Dist 2,Leg Dist 3,Senatorial Dist1,Senatorial Dist2,Cong District,Miles Planned,County,longcode,shortcode
,2024,2015,HOOK RD,200Ft Southeast of Industrial Drive,10,0,Calcon Hook Rd / SR 2011,10,2101,DARBY,"","",185,"","",08,"",05,0.4,Delaware,20150010000000102101,201500100010
,2025,2029,OXFORD VALLEY R,Big Oak Rd / SR 2024,151,279,Covington Rd,161,2885,LOWER MAKEFIELD,"","",031,"","",10,"",01,0.95,Bucks,20290151027901612885,202901510161
,2024,291,BROAD ST,Oregon Ave / SR 2001,141,0,Penn Sq / SR 3022,181,2247,PHILADELPHIA,"","",186,184,182,1,"",5,2.44,Philadelphia,02910141000001812247,029101410181
,2027,3026,BALTIMORE PK,Christine Rd / SR 0272,10,0,SR 0010 / SR 0472,70,2821,OXFORD,WEST NOTTINGHAM,EAST NOTTINGHAM,013,"","",19,"",06,3.44,Chester,30260010000000702821,302600100070
,2025,413,DURHAM RD,Doylestown Buckingham Pk/SR 0202,540,0,Dark Hollow Rd/SR 1013,720,2557,PLUMSTEAD,BUCKINGHAM,BEDMINSTER,143,029,"",10,"",01,8.35,Bucks,04130540000007202557,041305400720
,2028,2030,UPLAND AV,"Upland Ave, Twentysecond St  / SR 2006",12,0,Providence Ave / SR 0320,22,428,UPLAND BOROUGH,CHESTER CITY,"",161,159,"",09,"",05,0.69,Delaware,20300012000000220428,203000120022
,2026,4018,SCHWENKSVILLE R,Gravel Pk,80,0,Old Skippack Rd,130,2273,SCHWENKSVILLE,UPPER SALFORD,PERKIOMEN,147,070,"",24,"",04,3.03,Montgomery,40180080000001302273,401800800130
,2024,8018,RAMP RD,Schuylkill Ex / SR 0076,10,0,University Av / SR 3003,500,730,PHILADELPHIA,"","",188,186,"",8,"",3,0.8,Philadelphia,80180010000005000730,801800100500
,2028,3029,HENDERSON RD,Prince Frederick St,30,0,Brownlie Rd,40,3343,UPPER MERION,"","",149,"","",17,"",05,1.09,Montgomery,30290030000000403343,302900300040
,2026,3025,STATION RD,60Ft South of Conchester Hwy / SR 0322,43,0,Conchester Hwy / SR 0322,43,60,CONCORD,"","","","","","","","",0.01,Delaware,30250043000000430060,302500430043
,2026,2053,OXFORD VALLEY R,Harris Ave,80,0,Neshaminy St / SR 2027,90,2581,FALLS,"","",140,"","",10,"",01,0.97,Bucks,20530080000000902581,205300800090
,2025,4033,MARSHALL RD,Creek Rd / SR 0282,10,0,Chalfont Rd / SR4016,10,3956,WALLACE,"","",155,"","",44,"",06,0.75,Chester,40330010000000103956,403300100010
,2024,2022,WOOLSTON DR,SR 2069,11,0,300Ft West of SR 9401,11,803,FALLS,"","",140,"","",10,"",01,0.15,Bucks,20220011000000110803,202200110011
